title,description,url
"Public Health | Mendocino County, CA",Mendocino County Coronavirus Page. Public Health Links: Tick Testing & Identification - services provided by Solano County Public Health Laboratory.,https://www.mendocinocounty.org/government/health-and-human-services-agency/public-health
Restaurant Resiliency Program - Solano SBDC,"The Restaurant Resiliency Program of Solano County began in the summer of 2021, utilizing $100000 of seed funding from Wells Fargo Bank to partner with ...",https://www.solanonapasbdc.org/restaurant-resiliency-program/
COVID-19 — In The News — Benicia Business,"15, 2022, to follow the Solano County Public Health and California Department ... SBA enhanced the COVID Economic Injury Disaster Loan program to aid small ...",https://www.beniciabusiness.com/in-the-news/tag/COVID-19
VA Home Loan Limits | Veterans Affairs,"This means that if you default on your loan, we'll pay your lender up to 25% of the county loan limit minus the amount of your entitlement ...",https://www.va.gov/housing-assistance/home-loans/loan-limits/
Homebuyers Loan Program - California Housing Finance ...,The California Housing Finance Agency - CalHFA offers a variety of loan programs to help homebuyers and first time homebuyers purchase a home in California.,https://www.calhfa.ca.gov/homebuyer/programs/
Emergencies & Disaster Preparedness - Solano County,"For more information about COVID-19 and how it is impacting our local Solano ... public assistance, business and other relevant family resources; California ...",https://www.solanocounty.com/depts/bh/emergency.asp
COVID-19 Health Order - Solano County,"LATEST UPDATE The Solano County Public Health Officer, consistent with the recent changes from the California Department of Public Health, is amending the ...",https://www.solanocounty.com/depts/ph/covid_19_health_order/default.asp
Public Health - Solano County,"For our COVID-19 Dashboard, Click Here Withstanding Flu Health Order Flu Vaccination for Hospital Healthcare Workers - Health Order Programs and Services ...",https://www.solanocounty.com/publichealth
Solano County Coronavirus Information & Resources,"Solano County Coronavirus Information & Resources Solano County, California. ... COVID-19 Information. Solano ... Basic Needs and Rental Assistance.",https://solano.networkofcare.org/aging/content.aspx?cid=9313
Resource Connect Solano: Housing and Supportive Services,EMERGENCY RENTAL ASSISTANCE PROGRAM (ERAP) FUNDING. Solano County is pleased to announce that Catholic Charities will be administering $13.3 million in ERAP ...,https://www.resourceconnectsolano.org/
"How Healthy Is Solano County, California? - USNews.com",Explore the Healthiest Communities assessment of Solano County in California through 84 measures that influence community health.,https://www.usnews.com/news/healthiest-communities/california/solano-county
"Solano County, California; United States - U.S. Census Bureau","Population Estimates, July 1 2021, (V2021) NA 331,893,745Population estimates base, April 1, 2020, (V2021) NA 331,449,281Population, Census, April 1, 2020453,491331,449,281Population, Census, April 1, 2010413,344308,745,538View 55 more rows","https://www.census.gov/quickfacts/fact/table/solanocountycalifornia,US/BZA010218"
"SBDC looks to help Black-owned businesses in Solano, NorCal","The Northern California Small Business Development Center network, ... How many Black-owned businesses are in Solano County is not known, ...",https://www.dailyrepublic.com/all-dr-news/solano-news/fairfield/sbdc-looks-to-help-black-owned-businesses-in-solano-norcal/
VA Northern California Health Care | Veterans Affairs,"Help Limit the Spread of COVID-19 and other Illnesses. If you have a fever, cough or shortness of breath, call us at 800-382-8387 before visiting. We are ...",https://www.va.gov/northern-california-health-care/
Certifications - Small Business Exchange,AL ADECA - Office of Minority Business Enterprise ... CA Santa Clara County Online Contracting Application ... CA Solano County Vendor Application,http://www.sbeinc.com/resources/certifications.cfm
Solano Small Business Development Center | Consultants,The Solano SBDC serves all of Solano County and is part of the Northern California SBDC network. We work hands-on with entrepreneurs and business owners to ...,https://www.solanohcc.com/list/member/solano-small-business-development-center-145
California Scholarships,The Community Foundation's scholarships are created by individuals and organizations to assist students who are pursuing a higher education. Each scholarship ...,https://www.scholarships.com/california-scholarships.aspx
Center for Reducing Health Disparities Resource,Coronavirus Community Resources | Recursos Comunitarios de Coronavirus ... resources for our communities in California at the local and state level.,https://health.ucdavis.edu/crhd/resources.html
Danette Mitchell: Finding inclusivity for Black businesses - The ...,"The Northern California Small Business Development Centers and the Nor-Cal ... president of the Solano County Black Chamber of Commerce, ...",https://www.thereporter.com/2021/04/09/danette-mitchell-finding-inclusivity-for-black-businesses
Private-Sector Loans and Grant Opportunities | COVID-19 Pro ...,California Capitl Access Program for Small Business (CalCAP) ... Community Economic Development Fund (CEDF) - Women and Minority Loan Guarantee Program.,https://covid19.startsmallthinkbig.org/resources/loan-grant
African American - Solano County,"African American Faith Based Initiative - Mental Health Friendly Communities (MHFC) ... 1735 Enterprise Drive, Bldg. 3, Fairfield, CA 94533",https://www.solanocounty.com/depts/bh/diversity/aa.asp
Coronavirus: Solano SBDC taking part in Inclusivity Project for ...,"In a statement, Solano SBDC Director Tim Murrill said the project would be beneficial to Black business owners in the county.",https://www.thereporter.com/2021/03/10/coronavirus-solano-sbdc-taking-part-in-inclusivity-project-for-black-business-owners
SBDC Launches Inclusivity Project for Black Business Owners,COVID has impacted all segments of the economy but especially hard hit has been the Black community. To help business owners and ...,https://www.timesheraldonline.com/2021/03/09/sbdc-launches-inclusivity-project-for-black-business-owners
Solano County Library: Home,"The California Department of Public Health has provided Solano County Library with at-home COVID-19 tests.… Kids Ages 4 - 12, Read Books For Burgers! March 5 - ...",https://solanolibrary.com/
East Bay | SCORE,"East Bay SCORE offers FREE business mentoring, low-cost or no-cost business training, and numerous templates and tools to help you start or grow a business.",https://eastbay.score.org/
COVID-19 Regional Response Funds - Sierra Health ...,Northern California COVID-19 Response Fund ... due to COVID-19 and resources that will be dedicated to help vulnerable populations and small businesses.,https://www.sierrahealth.org/covid-19/response-funds
Solano - Race Counts,"Solano ranks the 54th most racially disparate county in California. ... Across indicators, Solano Black residents are most impacted by racial disparity.",https://www.racecounts.org/county/solano/
Solano County allowing several businesses to reopen - ABC7 ...,"SOLANO COUNTY, Calif. (KGO) -- Solano County is skipping ahead of the state and is allowing these businesses to re-open as long as they meet ...",https://abc7news.com/solano-county-reopening-coronavirus-covid-covi19/6239283/
Business Assistance - Sonoma County Economic ...,"Looking for assistance during Coronavirus? ... View EDB's Cornovirus Business Resources Guide for potential funding and working capital for small business, best ...",http://sonomaedb.org/Business-Assistance/
Financial Assistance for Businesses - Sonoma County ...,"Small Business Administration Loans, https://disasterloan.sba.gov/elaLow-interest federal disaster loans to California small businesses suffering substantial ...",https://socoemergency.org/emergency/novel-coronavirus/financial-assistance-for-businesses/
Sonoma County Small Business Stabilization Grant Program,"This grant program is made possible by federal funding from the Coronavirus Aid, Relief, and Economic Security (CARES) Act. Working Solutions, a Bay Area ...",https://www.workingsolutions.org/sonoma-grants
Resources and Information for Business Owners and Workers,"The California Small Business COVID-19 Relief Grant Program provides competitive micro grants ranging from $5,000 to $25,000 to eligible small businesses ...",https://srcity.org/3260/Business-Support
COVID-19 Resilience Fund - Community Foundation Sonoma ...,Give Locally: to our COVID-19 Resilience Fund to help Sonoma County's ... Causes Supported by COVID Grants Economic Assistance 1/4 44.1% 7.6% 19.8% 22.4% ...,https://www.sonomacf.org/nonprofits/covid-19-resilience-fund/
Our Grant Programs - Community Foundation Sonoma County,The 2020 COVID-19 Community Impact grants program was a one-time program to provide support to community-based organizations during the pandemic and is now ...,https://www.sonomacf.org/nonprofits/apply-for-grants/
COVID-19 - Napa-Sonoma SBDC,The latest updates on CARES Act funds and federal and state regulatory policy ... and information specific to reopening businesses in Northern California.,https://www.napasonomasbdc.org/covid-19/
Coronavirus: Business Resources - City of Sonoma,View the current Sonoma County Coronavirus Data Dashboard and learn more about the ... County accepting applications for American Rescue Plan Act funding ...,https://www.sonomacity.org/coronavirus-business-resources/
Sonoma County supervisors approve $2.8 million in business ...,"Santa Rosa, CA – May 25, 2021 – The Sonoma County Board of Supervisors on ... million in relief for businesses forced to close during the COVID-19 pandemic.",https://sonomacounty.ca.gov/CAO/Press-Releases/Sonoma-County-supervisors-approve-$2-8-million-in-business-relief/
County of Sonoma: Home,Covid-19 vaccines are available to everyone 5 years of age and older. ... The Sonoma County Planning Commission will consider updates to the Vacation Rental ...,https://sonomacounty.ca.gov/Home/
Coronavirus Business Resources - Santa Rosa Metro Chamber,"For up to date information on vaccine distribution in Sonoma County, go to socoemergency.org/ ... California Small Business COVID-19 Relief Grant Program.",https://www.santarosametrochamber.com/resources/coronavirus-business-resources/
Sonoma - California Small Business COVID-19 Relief Grant ...,Sonoma. The following partners serve your county. You can use the links below to learn more about each partner to select which organization to apply through ...,https://careliefgrant.com/partner/sonoma/
Coronavirus Resources for Windsor Businesses,In partnership with the County of Sonoma Department of Health Services and Economic Development Board (EDB) the Town of Windsor has developed a ...,https://www.townofwindsor.com/1209/Coronavirus-Resources-for-Windsor-Busine
COVID-19 Helpful Information - Geyserville Chamber of ...,"Sonoma County Tourism Covid Updates ... Small business emergency grants of up to $2,000 are available through the Santa Rosa Metro Chamber, and coordinated ...",https://geyservillechamber.com/covid-19-helpful-information/
Coronavirus Resources - UCCE Sonoma County,"COVID-19 Employer Playbook for a Safe Reopening by CA Dept of Public Health. To help plan and prepare for reopening their business[es] and to support a safe, ...",https://cesonoma.ucanr.edu/Disaster_Resources/Coronavirus_/
Past Funding Opportunities - First 5 Sonoma County,First 5 Sonoma County is accepting proposals from qualified individual ... County Commission's Responsive Grant Fund: Addressing impacts of COVID-19 and the ...,https://first5sonomacounty.org/funding-opportunities/past-funding-opportunities/
Recovery and Response Grants - CreativeSonoma.org,"COVID-19 Arts Relief Grants for Organizations ... to Sonoma County individual creatives, arts administrators, and creative businesses and organizations that ...",https://www.creativesonoma.org/recovery-and-response-grants/
Placer County to distribute $412000 in microbusiness grants,California Microbusiness COVID-19 Relief Grant Program ... Placer County has contracted with the Sierra Business Council to administer ...,https://www.rosevilletoday.com/news/roseville/placer-microbusiness-grants/
Table of Contents - Solano County,The following infographic provides County demographics directly related to Solano County's planning and response to. COVID-19. In response to COVID-10 both ...,https://www.solanocounty.com/civica/filebank/blobdload.asp?BlobID=34517
6:00 PM MENTAL HEALTH ADVISORY BOARD MINUTES,They are seeking the support from the Mental Health Advisory Board members to address the existing. Youth tobacco issue in Solano County.,http://www.solanocounty.com/civica/filebank/blobdload.asp?BlobID=35032
AGENDA - Solano County,california legislature—2021–22 regular session. ASSEMBLY BILL ... care workers: COVID-19: hazard pay retention bonuses.,https://www.solanocounty.com/civicax/filebank/blobdload.aspx?BlobID=34998
Solano County COVID-19 (Coronavirus) Resources [Condado ...,"Solano County COVID-19 (Coronavirus) Resources [Condado de Solano ... Solano County, CA ... Get free legal help for LGBT asylum seekers and immigrants.",https://www.1degree.org/collections/6615-solano-county-condado-de-solano-solano-county-ca-usa/other-support-6352d46f-92be-420f-8f12-2d4d73f5783e
Solano County Innovations Project - UC Davis Health,"The project focuses on highlighting the experiences and mental health needs of the Filipino American, Latino and LGBTQ+ (Lesbian, Gay, Bisexual, Transgender, ...",https://health.ucdavis.edu/crhd/solano-innovations.html
Grants Management - Cal OES,"The California Governor's Office of Emergency Services, Grants Management is ... www.solanocounty.com/depts/fvp/fjc/default.asp ... Los Angeles LGBT Center",https://www.caloes.ca.gov/cal-oes-divisions/grants-management
Lessons (Re)Learned From COVID-19 - Centers for Disease ...,"by L Michener · 2020 · Cited by 33 — Concerningly, COVID-19's impact on the lesbian, gay, bisexual, ... In semirural Solano County, California, the Solano Pride Center is ...",https://www.cdc.gov/pcd/issues/2020/20_0250.htm
VACAVILLE POLICE DEPARTMENT Referral Guide 2021,counseling to residents of Solano County. ... Support group for individuals who are grieving ... CA.US. Provides information and referrals to community.,https://www.ci.vacaville.ca.us/home/showpublisheddocument/17244/637471873620700000
Solano County reports first infant death related to COVID-19,"SOLANO COUNTY, Calif. (KTXL) — Solano County health officials reported the first infant death caused by the COVID-19 pandemic in the county ...",https://fox40.com/news/local-news/its-very-tragic-first-covid-19-related-infant-death-reported-in-solano-county/
HOME | solanopride,"Serving the Lesbian, Gay, Bisexual, Transgender, · Queer, Questioning, and Intersex in Solano County · Solano Pride Center.",https://www.solanopride.org/
Clinical Services Supervisor (Mental Health) at Solano County ...,The Vision of the Solano County Office of Education (SCOE) is to ... or a license as a Psychologist issued by the California Board of ...,https://www.edjoin.org/Home/DistrictJobPosting/1538118
Northern California and Northern Nevada Chapter,"Our chapter helps people in Northern California and Northern Nevada facing Alzheimer's and dementia with education, support groups and local resources.",https://www.alz.org/norcal
SBA Updates - Napa-Sonoma SBDC,Small Business Administration (SBA) to provide up to $2M in Disaster Assistance Loans to businesses impacted by COVID-19.,https://www.napasonomasbdc.org/sba-updates-20-21/
"Resources | Santa Rosa, CA","Virtual Disaster Loan Outreach Center - (800) 659-2955. Sonoma County Economic Development Board. Assists local business with resources, training, ...",https://srcity.org/3415/Resources
Coronavirus COVID-19 SBA Loans | PPP Small Business Help,"Help getting federal coronavirus small business assistance loans. CARES Act, eviction protection, and more. Contact Denegri & Associates to get started now.",https://www.sonomacpa.com/coronavirus-aid-relief.htm
Federal Programs - UCCE Sonoma County,Coronavirus Food Assistance Program (CFAP) — About SBA Loans for Ag Enterprises ... State of California has a running list of programs: Small Business ...,https://cesonoma.ucanr.edu/Disaster_Resources/Coronavirus_/Federal_Programs/
Novel Coronavirus (COVID-19) | City of Sebastopol,"See the California EDD FAQs for more information. For additional resources for business owners and employees impacted by COVID-19, see the Sonoma County ...",https://ci.sebastopol.ca.us/City-Government/Departments-Services/Fire/Novel-Coronavirus-(COVID-19)-New/Small-Business-Employee-Resources
Blog | CreativeSonoma.org,"For the main County of Sonoma emergency and recovery resources, ... California Small Business COVID-19 Relief Grant Program – providing grants of up to ...",https://www.creativesonoma.org/emergency-resources/
"Weekly Roundup for February 4, 2022 | Latest News","Joint webinars to focus on business issues, questions; Large vaccine clinics at Sonoma County Fairgrounds; What to do if you contract COVID- ...",https://sonomacounty.ca.gov/CAO/News/Weekly-Roundup-for-February-4--2022/
COVID-19 | Sonoma Clean Power,Creates low-interest loans under the Paycheck Protection Program within CARES. ... https://www.pressdemocrat.com/business/10878917-181/sonoma-county-small- ...,https://sonomacleanpower.org/covid-19
Agency Support | - Sonoma County COAD,Agency Support · Small business owners in California are eligible for low interest loans due to COVID-19. Visit the site for guidance and loan resources.,https://www.sonomacountycoad.org/agency-support/
COVID-19 INFORMATION AND RESOURCES FOR ...,upcoming loan programs. Napa Sonoma Small Business Development Center (SBDC). In support of the Napa County and Sonoma County State of Emergency declaration ...,https://www.cityofnapa.org/DocumentCenter/View/6325/Covid-19---Resources-for-Employers-Updated-3-16-20--1140?bidId=
Financial Assistance - Sonoma County Emergency and ...,"Since October 2020, the County and nonprofit partners have provided more than $2 million in emergency financial assistance to over 1,600 low-income ...",https://socoemergency.org/emergency/novel-coronavirus/finance-housing/
Grant Program | Coronavirus | Business Assistance - Sonoma ...,"This program was designed to assist small businesses in Sonoma County with between 1 and 30 employees with grants of $2,500 to $15,000 in Covid-19 relief ...",http://sonomaedb.org/Business-Assistance/Coronavirus/Grant-Program/
COVID-19 community assistance | Press Releases - County of ...,"Santa Rosa, CA – November 24, 2020 – The County of Sonoma has allocated additional funding to local nonprofit On the Move for dissemination of financial ...",https://sonomacounty.ca.gov/CAO/Press-Releases/COVID-19-community-assistance/
"INVEST | Santa Rosa, CA",The CHOICE Grant Program was launched in 2006 and with MEASURE O (2004) has funded non-profit organizations and schools with over $10 million in grants to ...,https://srcity.org/3223/Invest
Additional Coronavirus Resources to Aid the Community,The Sonoma County Board of Supervisors' COVID-19 Eviction Defense Ordinance pre-dates California's eviction moratorium by a few days. The County ordinances ...,https://srcity.org/3243/Resources
Foundation - Sonoma County Wine,Its purpose is to consistently support local nonprofit organizations that ... “Thank you for the Sonoma County Vintners Foundation's generous grant to Side ...,https://sonomawine.com/foundation/
Coronavirus: How You Can Help - City of Sonoma,Every member of our community can make a difference in how Sonoma Valley gets ... and raising funds to enable nonprofits to fill them in innovative ways.,https://www.sonomacity.org/food-security/
"First 5 Sonoma County | Sonoma County, CA – Talk, Read, Sing!","Resources for Parents. The Parent Resource Guide is a wonderful resource for Sonoma County Parents, and it's our free gift to you!",https://first5sonomacounty.org/
Grants & Loans for Disasters - UCCE Sonoma County,Loans. California IBank offers loan guarantee program to help small businesses obtain low interest business loans and micro-loans for disaster relief. Small ...,https://cesonoma.ucanr.edu/Disaster_Resources/GrantsLoans/
Sonoma County Human Race - Center for Volunteer ...,Hundreds of local area nonprofits are supported by the funds individual members of our community raise together. Anyone can sign up and join a team or create a ...,https://cvnl.org/human-race/
CVNL Center for Volunteer & Nonprofit Leadership Marin-Napa,"We advance nonprofits and volunteerism by strengthening leadership, encouraging innovation and empowering people. Executive Search. Consulting. Resources.",https://cvnl.org/
Family Justice Center of Sonoma County,"The Family Justice Center Sonoma County empowers family violence victims to ... sexual assault, elder abuse and stalking can go for support and services.",https://www.fjcsc.org/
Donate to United Way of the Wine Country - Support Local ...,"Support local nonprofits such as Pride United, Women United, Map One Sonoma, ... in dispersing designated donations and targeted grants to trusted, ...",https://www.unitedwaywinecountry.org/
Current Grantees - Healthcare Foundation,... grant from Partnership HealthPlan of California to support 12 community-based nonprofits serving Sonoma County's most vulnerable populations with COVID ...,https://healthcarefoundation.net/grants/current-grantees/
Business | County of Sonoma,"Resources and services directed toward encouraging the start-up, retention and expansion of Sonoma County businesses and jobs, particularly with small ...",https://sonomacounty.ca.gov/business/
FUNDING OPPORTUNITY: California Small Business ...,"The first round of applications for the Small Business COVID-19 Relief Grant Program is now open. On November 30, 2020, Governor Newsom and the ...",https://www.creativesonoma.org/opportunities/funding-opportunity-california-small-business-emergency-relief-package/
COVID-19 Resources and Information - Sonoma County ...,Blueprint Activity and Business Tiers: https://www.cdph.ca.gov/Programs/CID/DCDC ... The grants are available to any Sonoma County small business with 20 or ...,https://scla.wildapricot.org/COVID-19-Resources-and-Information
Solano County Arts Council,"Artist Relief will distribute $5,000 grants to artists facing dire financial emergencies due to COVID-19; serve as an ongoing informational resource; and co- ...",https://www.solanocountyartscouncil.com/
Resource Information - Solano County,"The Health & Social Services Department help line is 211. which is a free, information and referral service for everyone in the community regardless of ...",https://www.solanocounty.com/depts/hss/resource.asp
SOLANO COUNTY ARTS COUNCIL,“Art and Culture for Everyone” Solano County Arts Council's mission will support and expand the opportunities for diverse artistic expression so everyone is ...,https://arts.ca.gov/grantee/solano-county-arts-council-8/
Solano Community College,"AICCU Campus Weeks 2022 – California Community College Transfer Students. 14Mar,2022. 12:00 PM - 01:00 PM ... Student support services is here for you!",https://welcome.solano.edu/
Congressman John Garamendi | Representing the 3rd District ...,"WASHINGTON, DC—Today, Congressman John Garamendi (D-CA), Chair of the Armed Services Subcommittee on Readiness, issued the following statement after ...",https://garamendi.house.gov/
Solano County Senior Resources COVID-19 - Choice in Aging,"Low-Income Home Energy Assistance Program. SOLANO COUNTY. 1000 Texas St, Suite G. Fairfield, CA 94533. Toll-free:(800) 233-4480.",https://choiceinaging.org/wp-content/uploads/2020/04/Senior-Resourses-Solano-County-All-COVID-19.pdf
SolTrans,SolTrans Response to COVID-19 · Where's My Bus · Routes & Schedules · Plan My Trip ...,https://soltrans.org/
Vacaville Museum: Home,The Vacaville Museum collects and preserves artifacts relating to the history of Solano County to promote awareness of our history and culture.,https://vacavillemuseum.org/
Student Art Showcase - Solano County Office of Education,"Art is power ... This event will be FREE (but not open to the public), due to COVID protocols ... A native of Oakland, CA, and a lifelong Bay Area resident.",https://www.solanocoe.net/studentshowcase
Solano & Napa County Medical Societies > Home,"voice for physicians in Solano and Napa counties. ... To promote the science and art of medicine, the care and wellbeing of patients, ... COVID-19 Resources.",https://www.napasolanodocs.org/
"Vaca-Con | Vacaville, CA","Visit Artist Alley and the Exhibitor Hall to see, shop, and support local artists and vendors at the Ulatis Community Center.",https://www.ci.vacaville.ca.us/government/parks-and-recreation/vaca-con
Community Resilience Resources - Sustainable Solano,"The California Coronavirus Response Website has resources on the disease as well as how to: Apply for unemployment, disability or paid family leave · Get help ...",https://sustainablesolano.org/community-resources/
ARPA | County Administrators Office,"Sonoma County American Rescue Plan and the Coronavirus State and Local Fiscal Recovery ... To view the Notice of Funding Availability (NOFA) for ARPA funds, ...",https://sonomacounty.ca.gov/CAO/ARPA/
Orange County small business COVID-19 Relief Grants,"Santa Ana, Calif. – Awarded by the California Office of the Small Business Advocate (CalOSBA), the Orange County Workforce Development Board ...",https://www.rosevilletoday.com/press-releases/orange-county-covid-relief/
California Family Farmer Emergency Fund,"For this reason, at least 50% of all grant funds will be awarded to farmers of ... Farm losses resulting from the COVID-19 pandemic and resulting economic ...",https://caff.org/cafamilyfarmeremergencyfund/
Newsletters - City of Rohnert Park,COVID-19 Relief Grant for Small Businesses ... in Sonoma County that will be accepting grant applications starting on December 30th.,https://www.rpcity.org/newsletter/One.aspx?objectId=17300746&contextId=3683074&action=showMessage
Impact100 Sonoma - Home,"Impact100 Sonoma adopted a new Impetus Grants Model for 2021 - awarding up to $25,000 to more than a dozen nonprofits rather than one large $100,000 grant. Boys ...",https://www.impact100sonoma.org/
Resource Directory • Town of Windsor • CivicEngage,"Listings 1 - 10 of 15 — Sonoma County Energy Independence Program ... For commercial property, lender needs to have signed the Lender ... Windsor, CA 95492",https://townofwindsor.com/BusinessDirectoryii.aspx?ysnShowAll=0&lngNewPage=0&txtLetter=S&txtZipCode=&txtCity=&txtState=&txtBusinessName=&lngBusinessCategoryID=&txtCustomField1=&txtCustomField2=&txtCustomField3=&txtCustomField4=&txtAreaCode=
100 largest nonprofits in Sonoma County - The Press Democrat,1. Redwood Credit Union: ; 2. Community Foundation Sonoma County: ; 3. Santa Rosa Community Health Centers: ; 4. Rural California Broadcasting Corp ...,https://www.pressdemocrat.com/article/specialsections/100-largest-nonprofits-in-sonoma-county-4/
Rental/Mortgage Assistance Program - County of Sonoma,"The Rental/Mortgage Assistance Program provides short-term, secured and unsecured, 3% interest loans to eligible employees to pay rental security deposits, ...",https://sonomacounty.ca.gov/CDC/Housing-and-Neighborhood-Investment/RMAP/
Financial Aid Office at Sonoma State University,"After completing the FAFSA questions as instructed on the application (including the transfer of tax return and income information), contact the Financial Aid ...",https://financialaid.sonoma.edu/
Sonoma SBDC - Serving small businesses in Sonoma County,"Sonoma SBDC helped more than 1128 clients navigate through a ... Low-interest SBA disaster loans for working capital ... Santa Rosa, CA 95404.",https://www.sonomasbdc.org/
Sonoma County Economic Development Board - Facebook,"Sonoma County Economic Development Board, Santa Rosa, California. ... May be an image of 3 people and text that says 'FINANCING YOUR $ BUSINESS.",https://www.facebook.com/SonomaEDB
Housing and Renter Support during COVID-19 - Sonoma ...,Further assistance is subject to the availability of funding. ... contact Legal Aid Sonoma County at (707) 542-1290 or California Rural Legal Assistance at ...,https://socoemergency.org/emergency/novel-coronavirus/finance-housing/housing-and-renter-support/
Emergency Rental Assistance Program receives additional ...,"Santa Rosa, CA – October 6, 2021 – The Sonoma County Board of Supervisors ... to accept up to $13,787,577.78 of State Block Grant funds from the California ...",https://sonomacounty.ca.gov/CAO/Press-Releases/Emergency-Rental-Assistance-Program-receives-additional-funding/
County awarded 6 million to scale grassroots COVID-19 ...,"Santa Rosa, CA – December 9, 2021 – The Sonoma County Department of Health Services today ... $6 million grant from the Centers for Disease Control and ...",https://sonomacounty.ca.gov/CAO/Press-Releases/County-awarded-6-million-to-scale-grassroots-COVID-19-response/
Grants for Sonoma County Residents Affected by COVID-19,"Grants for Sonoma County Residents Affected by COVID-19 ... This is a one-time financial stipend for eligible households who have experienced a job loss, reduced ...",https://studentaffairs.sonoma.edu/grants-sonoma-county-residents-affected-covid-19
Sonoma County COVID Resources for Youth,Scholarships/Funds · California College Student Emergency Support Fund · Update 4/23: Currently closed to applications or waitlist possibilities · Website: ...,https://www.youthscoop.org/college-student-youth
"Sonoma County targets COVID response, rural broadband for ...",The Sonoma County Board of Supervisors has determined how to spend the $96 million in federal funds allocated to the county through the ...,https://www.pressdemocrat.com/article/news/sonoma-county-supervisors-allocate-arpa-funding/
Covid-19 Response - Sonoma County Job Link,"120+ Individuals have received special COVID-19 grant services ... The State of California Employment Development Department (EDD), and partner agencies are ...",https://sonomawib.org/covid-19-response/
Emergency Rental Assistance Program 40 million relief funds ...,Nearly $25 million in direct assistance has been provided to more than 2100 Sonoma County households through Sonoma County's Emergency ...,https://sonomacounty.ca.gov/CAO/Press-Releases/Emergency-Rental-Assistance-Program-40-million-relief-funds-pauses-program-temporarily/
"COVID-19 Emergency | Santa Rosa, CA - SRCity.org","Sonoma County Aligns with State on Masking Changes. As of 3/1, masks are no longer required for unvaccinated individuals in CA, but are strongly recommended ...",https://srcity.org/3303/COVID-19-Emergency-Information
Recovery | Coronavirus | Business Assistance - Sonoma ...,As guidelines have been provided by the State of the California for a safe ... in emergency stabilization grants awarded to 542 Sonoma County Businesses.,http://sonomaedb.org/Business-Assistance/Coronavirus/Recovery/
UndocuFund – for Disaster Relief in Sonoma County,"We are working to care for and protect our community, providing assistance for those impacted by the COVID-19 pandemic which we have been assisting since we ...",https://undocufund.org/
Legal Aid of Sonoma County | Working to promote social justice,Legal Aid of Sonoma County | Our mission is to promote social justice and advance basic human rights for vulnerable people in our community.,https://legalaidsc.org/
COVID-19 Resources - YWCA Sonoma County,"If you need help, please call our 24/7 Domestic Violence Crisis Hotline 707-546-1234. Domestic Violence Services located at the Family Justice Center",https://www.ywcasc.org/community-resources/covid-19/
Coronavirus (COVID-19) Information for Schools and Families,"Schools and districts in California and Sonoma County opened for full-time, ... and how you can help your child prepare—both academically and emotionally.",https://www.scoe.org/pub/htdocs/coronavirus.html
Rent Payment Assistance - 211 Sonoma County,211 Sonoma provides help through free access to the database of health and social ... Phone: socoemergency.org/emergency/novel-coronavirus/finance-housing/ ...,https://211sonoma.org/income-expensesx/housing/rent-payment-assistance/
SONOMA COUNTY COVID-19 RESOURCES,https://socoemergency.org/emergency/novel- · coronavirus/ ... testing/covid-19-testing-in-sonoma-county/ ... California's COVID Rent Relief.,http://www.partnershiphp.org/Community/Documents/Sonoma/Sonoma_COVID-19.pdf
Economic Assistance | Human Services | County of Sonoma,"Economic Assistance, P.O. Box 1539, Santa Rosa, CA 95402. Report Changes; Apply for Benefits; Submit Reports & Documents. Outdoor Office Drop Boxes.",https://sonomacounty.ca.gov/human-services/economic-assistance/
General Assistance | Economic Assistance | Human Services,Who May be Eligible. Residents of Sonoma County for at least 15 days; U.S. citizens or legal immigrants; Age 18 or older; Married couples under age ...,https://sonomacounty.ca.gov/Human-Services/Economic-Assistance/General-Assistance/
Coronavirus | Business Assistance - Sonoma County ...,"SoCo Launch offers a one stop shop for business disaster preparedness, response, and recovery information. For timely information about emergency events such as ...",http://sonomaedb.org/Business-Assistance/Coronavirus-Business-Resources/
CA COVID-19 Rent Relief - YWCA Sonoma County,COVID-19 Rental Assistance For Sonoma County Renters and Landlords · WHO IS ELIGIBLE? · Renter households having trouble paying rent or utilities due to COVID-19 ...,https://www.ywcasc.org/what-we-do/help-with-housing_covid/ca-covid-19-rent-relief/
Community Action Partnership Sonoma County -,"Community Action Partnership Sonoma - Helping achieve economic and social stability; building community, and advocating for social and economic justice.",https://www.capsonoma.org/
CURA Project - Homepage - La Plaza,"The COVID-19 Urgent Response and Aid (CURA) Project is a hub connecting Latinx, ... equitable access to emergency services could look like in Sonoma County.",https://www.laplazancc.org/en/cura-project
211 Sonoma County | Home Page,"Welcome to 211 Sonoma County, connecting people to health information, social services and ... Coronavirus Information · Financial Assistance Resources.",https://211sonoma.org/
Financial Assistance - Sonoma County Family YMCA,Information regarding financial assistance and forms. ... Click here for more information on California's February 16 COVID mask mandate changes.,https://www.scfymca.org/main/financial-assistance/
Campus and External COVID-19 Resources - Student Affairs,Swift Student is a free platform that assists students with financial aid ... financial assistance to Latinx and Indigenous residents of Sonoma County most ...,https://studentaffairs.sonoma.edu/covid-19-resources-students/campus-and-external-covid-19-resources
"North Bay (Sonoma, Napa, & Marin Counties) - The California ...",Community Foundation Sonoma County (CFSC): CFSC has partnered with the Silicon ... and financial assistance aid to families impacted by the coronavirus.,https://caanet.org/north-bay-sonoma-napa-marin-counties/
